Function                                                                                                                                                                                                                                                                                                                                                                                                                                                                         CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Overhead Time  Module                   Function (Full)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     Source File       Start Address     
t1fuv_4                                                                                                                                                                                                                                                                                                                                                                                                                                                                            0.050s                   0.050s                            0s                            0s                      0.050s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  t1fuv_4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             [Unknown]         0x1302ba0         
q1_2                                                                                                                                                                                                                                                                                                                                                                                                                                                                               0.050s                   0.050s                            0s                            0s                      0.050s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  q1_2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                [Unknown]         0x10f0d70         
n1fv_20                                                                                                                                                                                                                                                                                                                                                                                                                                                                            0.050s                   0.050s                            0s                            0s                      0.050s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  n1fv_20                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             [Unknown]         0x11b13b0         
n1fv_4                                                                                                                                                                                                                                                                                                                                                                                                                                                                             0.050s                   0.050s                            0s                            0s                      0.050s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  n1fv_4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              [Unknown]         0x11b3aa0         
n1fv_5                                                                                                                                                                                                                                                                                                                                                                                                                                                                             0.050s                   0.050s                            0s                            0s                      0.050s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  n1fv_5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              [Unknown]         0x11b3bd0         
fftwf_twiddle_awake                                                                                                                                                                                                                                                                                                                                                                                                                                                                0.050s                   0.050s                            0s                            0s                      0.050s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  fftwf_twiddle_awake                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 [Unknown]         0x1336d40         
n1bv_20                                                                                                                                                                                                                                                                                                                                                                                                                                                                            0.050s                   0.050s                            0s                            0s                      0.050s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  n1bv_20                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             [Unknown]         0x12d4e50         
copy                                                                                                                                                                                                                                                                                                                                                                                                                                                                               0.050s                   0.050s                            0s                            0s                      0.050s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  copy                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                [Unknown]         0x111ab40         
PMPI_Barrier                                                                                                                                                                                                                                                                                                                                                                                                                                                                       0.050s                   0.050s                            0s                        0.050s                          0s                             0s                            0s                  0s                      0s  libmpi_mt.so             PMPI_Barrier                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        barrier.c         0x737c0           
n1fv_4                                                                                                                                                                                                                                                                                                                                                                                                                                                                             0.050s                   0.050s                            0s                            0s                      0.050s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  n1fv_4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              [Unknown]         0x12e3300         
apply                                                                                                                                                                                                                                                                                                                                                                                                                                                                              0.050s                   0.050s                            0s                        0.010s                      0.040s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  apply                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]         0x1340700         
distribute_cg.isra.58                                                                                                                                                                                                                                                                                                                                                                                                                                                              0.050s                   0.050s                            0s                        0.010s                      0.040s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  distribute_cg(_IO_FILE*, float const (*)[3], int*, t_block*, float (*)[3], gmx_domdec_t*).isra.58                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [Unknown]         0x1af7d0          
n1bv_4                                                                                                                                                                                                                                                                                                                                                                                                                                                                             0.049s                   0.049s                            0s                            0s                      0.049s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  n1bv_4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              [Unknown]         0x12d7570         
clear_fshift                                                                                                                                                                                                                                                                                                                                                                                                                                                                       0.040s                   0.040s                            0s                            0s                      0.040s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  clear_fshift(float*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                [Unknown]         0xe63e30          
dd_move_x_constraints                                                                                                                                                                                                                                                                                                                                                                                                                                                              0.040s                   0.040s                            0s                            0s                      0.040s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  dd_move_x_constraints(gmx_domdec_t*, float (*)[3], float (*)[3], float (*)[3], int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 [Unknown]         0x1dc470          
calc_ke_part                                                                                                                                                                                                                                                                                                                                                                                                                                                                       0.040s                   0.040s                            0s                            0s                      0.040s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  calc_ke_part(t_state*, t_grpopts*, t_mdatoms*, gmx_ekindata_t*, t_nrnb*, int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       [Unknown]         0xfcc5a0          
inputrecDynamicBox                                                                                                                                                                                                                                                                                                                                                                                                                                                                 0.040s                   0.040s                            0s                            0s                      0.040s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  inputrecDynamicBox(t_inputrec const*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]         0x25cd00          
gmx_parallel_3dfft_execute                                                                                                                                                                                                                                                                                                                                                                                                                                                         0.040s                   0.040s                            0s                            0s                      0.040s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  gmx_parallel_3dfft_execute                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          [Unknown]         0xffd660          
set_pbc_dd                                                                                                                                                                                                                                                                                                                                                                                                                                                                         0.040s                   0.040s                            0s                            0s                      0.040s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  set_pbc_dd(t_pbc*, int, int const*, int, float const (*)[3])                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        [Unknown]         0x285060          
ewald_charge_correction                                                                                                                                                                                                                                                                                                                                                                                                                                                            0.040s                   0.040s                            0s                            0s                      0.040s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  ewald_charge_correction(t_commrec*, t_forcerec*, float, float (*)[3], float*, float (*)[3])                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         [Unknown]         0x1f8370          
computeSpecialForces                                                                                                                                                                                                                                                                                                                                                                                                                                                               0.040s                   0.040s                            0s                            0s                      0.040s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  computeSpecialForces(_IO_FILE*, t_commrec*, t_inputrec*, long, double, gmx_wallcycle*, ForceProviders*, float (*)[3], float (*)[3], t_mdatoms*, float*, int, gmx::ForceWithVirial*, gmx_enerdata_t*, gmx_edsam*, int)                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]         0xfb4940          
n1fv_8                                                                                                                                                                                                                                                                                                                                                                                                                                                                             0.040s                   0.040s                            0s                            0s                      0.040s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  n1fv_8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              [Unknown]         0x121d4b0         
t1buv_4                                                                                                                                                                                                                                                                                                                                                                                                                                                                            0.040s                   0.040s                            0s                            0s                      0.040s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  t1buv_4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             [Unknown]         0x12faaa0         
n1bv_10                                                                                                                                                                                                                                                                                                                                                                                                                                                                            0.040s                   0.040s                            0s                            0s                      0.040s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  n1bv_10                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             [Unknown]         0x12ce2d0         
n1fv_14                                                                                                                                                                                                                                                                                                                                                                                                                                                                            0.040s                   0.040s                            0s                            0s                      0.040s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  n1fv_14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             [Unknown]         0x12dfa40         
gmx_fft_1d                                                                                                                                                                                                                                                                                                                                                                                                                                                                         0.040s                   0.040s                            0s                            0s                      0.040s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  gmx_fft_1d(gmx_fft*, gmx_fft_direction, void*, void*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]         0xffea00          
htab_insert                                                                                                                                                                                                                                                                                                                                                                                                                                                                        0.040s                   0.040s                            0s                            0s                      0.040s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  htab_insert                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         [Unknown]         0x10dc250         
t1_2                                                                                                                                                                                                                                                                                                                                                                                                                                                                               0.040s                   0.040s                            0s                            0s                      0.040s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  t1_2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                [Unknown]         0x10fa6b0         
n1fv_14                                                                                                                                                                                                                                                                                                                                                                                                                                                                            0.040s                   0.040s                            0s                            0s                      0.040s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  n1fv_14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             [Unknown]         0x11b0260         
dotile_buf                                                                                                                                                                                                                                                                                                                                                                                                                                                                         0.040s                   0.040s                            0s                            0s                      0.040s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  dotile_buf                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          [Unknown]         0x1334650         
n1fv_5                                                                                                                                                                                                                                                                                                                                                                                                                                                                             0.040s                   0.040s                            0s                            0s                      0.040s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  n1fv_5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              [Unknown]         0x12e3460         
n1bv_5                                                                                                                                                                                                                                                                                                                                                                                                                                                                             0.040s                   0.040s                            0s                            0s                      0.040s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  n1bv_5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              [Unknown]         0x12d76d0         
n1bv_5                                                                                                                                                                                                                                                                                                                                                                                                                                                                             0.040s                   0.040s                            0s                            0s                      0.040s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  n1bv_5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              [Unknown]         0x11a7aa0         
