--------------------------------------------------------------------------------
*** jrodrig   Job: 3649912.sdb   started: 26/04/16 19:35:53   host: mom3 ***
*** jrodrig   Job: 3649912.sdb   started: 26/04/16 19:35:53   host: mom3 ***
*** jrodrig   Job: 3649912.sdb   started: 26/04/16 19:35:53   host: mom3 ***
*** jrodrig   Job: 3649912.sdb   started: 26/04/16 19:35:53   host: mom3 ***

--------------------------------------------------------------------------------
Starting job 3649912.sdb at Tue Apr 26 19:35:54 BST 2016
 
 Simple Parallel IO benchmark
 ----------------------------
 
 Running on  6144  process(es)
 Process grid is ( 16 ,  16 ,  24 )
 Array size is   ( 128 ,  128 ,  128 )
 Global size is  ( 2048 ,  2048 ,  3072 )
 
 Total amount of data =  98304.  MiB
 
 Clock resolution is  3.70233246945575673E-4 , usecs
 
 ------
 MPI-IO                                                          
 ------
 
 time =  119.91346390079707 , rate =  819.79117942356902  MiB/s
 time =  120.30701965186745 , rate =  817.10942789923968  MiB/s
 time =  106.97697411198169 , rate =  918.92672059593906  MiB/s
 time =  122.64442994631827 , rate =  801.53660498913712  MiB/s
 mintime =  96.511491834186018 , maxrate =  1018.5730023621813  MiB/s
 avgtime =  115.16986311255025 , avgrate =  858.57921599998542  MiB/s
 Deleting: defstriped/netcdf.dat                                           
 
 
 --------
 Finished
 --------
 
Application 21390790 resources: utime ~30144754s, stime ~41044s, Rss ~615548, inblocks ~9454137, outblocks ~12097989214
Finished job 3649912.sdb at Tue Apr 26 20:58:06 BST 2016
--------------------------------------------------------------------------------

